teams,value
"[4143, 5847, 4174, 4646, 4663, 3928, 695, 111]",578
"[4174, 4143, 5847, 4646, 3061, 4663, 3928, 695]",578
"[5847, 4143, 4646, 3928, 4174, 111, 3061, 2220]",577
"[4646, 5847, 4143, 4174, 3928, 2530, 111, 3061]",572
"[5847, 4646, 4143, 4174, 2220, 111, 3928, 3061]",572
"[4646, 5847, 4143, 3928, 4174, 695, 2220, 3061]",572
"[5847, 4143, 4646, 4174, 111, 3061, 3928, 2530]",571
"[4143, 5847, 4174, 3928, 4646, 3061, 111, 2530]",569
"[4143, 4174, 5847, 4646, 3928, 4663, 111, 3061]",569
"[4143, 4174, 5847, 4646, 3928, 111, 3061, 2530]",569
"[5847, 4646, 4174, 4143, 3061, 111, 3928, 695]",569
"[4646, 5847, 4143, 4174, 111, 3061, 2220, 3928]",567
"[4174, 4143, 4646, 5847, 111, 4663, 3061, 3928]",565
"[4646, 5847, 4143, 3928, 4174, 2220, 2530, 3061]",563
"[4143, 4174, 5847, 111, 4646, 2220, 3928, 3061]",563
"[4143, 5847, 4646, 4174, 3928, 111, 2220, 2530]",563
"[4174, 4143, 5847, 4646, 111, 3061, 3928, 695]",560
"[4646, 5847, 4143, 3928, 4174, 111, 3061, 2220]",559
"[5847, 4646, 4143, 4174, 695, 3061, 3928, 4663]",559
"[4174, 4143, 5847, 4646, 111, 3928, 3061, 695]",558
"[4143, 5847, 4174, 111, 3928, 4646, 4663, 2530]",557
"[4143, 4646, 5847, 4174, 4663, 3928, 695, 111]",557
"[4143, 5847, 4646, 4174, 3928, 4663, 695, 2530]",551
"[5847, 4646, 4143, 3928, 4174, 2220, 2530, 3061]",550
"[5847, 4143, 4646, 4174, 3928, 3061, 111, 695]",550
"[4143, 5847, 4174, 4646, 3928, 111, 3061, 695]",549
"[4143, 5847, 4646, 3928, 4174, 695, 111, 3061]",547
"[4646, 5847, 4143, 3928, 4174, 695, 2530, 3061]",546
"[4143, 4174, 5847, 111, 4646, 2220, 3061, 3928]",546
"[5847, 4143, 4646, 4174, 3928, 3061, 111, 2530]",546
"[5847, 4143, 4646, 4174, 3061, 3928, 695, 2220]",545
"[4646, 5847, 4143, 3928, 4174, 111, 2220, 2530]",541
"[4143, 4174, 4646, 5847, 3928, 4663, 111, 3061]",540
"[4143, 4174, 5847, 4646, 111, 4663, 3928, 3061]",539
"[4646, 5847, 4174, 4143, 3061, 111, 3928, 695]",539
"[4143, 4646, 4174, 5847, 3928, 2530, 111, 3061]",538
"[5847, 4143, 4174, 4646, 111, 2220, 3061, 3928]",537
"[4174, 4143, 5847, 4646, 3061, 4663, 111, 3928]",536
"[5847, 4143, 4174, 4646, 111, 3061, 2220, 3928]",535
"[5847, 4143, 4646, 4174, 695, 111, 3928, 3061]",535
"[4646, 5847, 4143, 3928, 4174, 2530, 695, 111]",533
"[5847, 4646, 4143, 111, 3061, 3928, 4174, 695]",533
"[4646, 5847, 4143, 4174, 111, 3061, 695, 3928]",533
"[4143, 4646, 4174, 5847, 3928, 111, 2530, 3061]",532
"[5847, 4143, 4646, 111, 3061, 4174, 3928, 695]",532
"[4143, 4174, 4646, 5847, 3928, 3061, 2530, 4663]",531
"[4143, 5847, 4174, 111, 3928, 4646, 695, 3061]",531
"[4143, 5847, 4646, 3928, 4174, 111, 2220, 3061]",531
"[5847, 4143, 4646, 4174, 695, 111, 3061, 3928]",528
"[4143, 4174, 5847, 4646, 111, 3928, 4663, 3061]",527
"[4143, 4174, 4646, 5847, 3928, 2530, 111, 3061]",526
"[5847, 4646, 4143, 4174, 3061, 2220, 3928, 695]",526
"[4646, 5847, 4143, 3928, 4174, 3061, 2220, 2530]",526
"[4143, 5847, 4174, 4646, 111, 2220, 3061, 3928]",525
"[5847, 4143, 4646, 3928, 4174, 2220, 111, 2530]",525
"[4174, 4143, 4646, 5847, 111, 2220, 3928, 3061]",524
"[4143, 4174, 4646, 5847, 111, 3928, 3061, 4663]",524
"[4174, 4143, 4646, 5847, 111, 3928, 3061, 695]",524
"[5847, 4646, 4143, 4174, 3928, 3061, 695, 2530]",522
"[4143, 5847, 4646, 4174, 3928, 2530, 4663, 695]",522
"[5847, 4646, 4143, 4174, 2220, 3061, 3928, 695]",521
