team,rank,match,redScore,redStdev,redRp,redWinChance,redRpChances,blueScore,blueStdev,blueRp,blueWinChance,blueRpChances
3928,9,61,16.25,43.71,0.11,0.0025,"{0: 0.0337, 1: 0.0961, 2: 0.0, 3: 0.0, 4: 0.0025, 5: 0.0, 6: 0.0}",36.63,96.92,0.53,0.1298,"{0: 0.0012, 1: 0.0013, 2: 0.0, 3: 0.0001, 4: 0.1223, 5: 0.0074, 6: 0.0}"
3928,9,62,5.28,19.31,0.01,0.0,"{0: 0.127, 1: 0.0053, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}",46.66,123.89,0.6,0.1323,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0623, 5: 0.07, 6: 0.0}"
3928,9,63,2.92,10.5,0.14,0.0481,"{0: 0.0842, 1: 0.0, 2: 0.0, 3: 0.048, 4: 0.0001, 5: 0.0, 6: 0.0}",4.11,13.97,0.25,0.0842,"{0: 0.0481, 1: 0.0, 2: 0.0, 3: 0.0827, 4: 0.0015, 5: 0.0, 6: 0.0}"
3928,9,64,9.57,28.23,0.41,0.1257,"{0: 0.0066, 1: 0.0, 2: 0.0, 3: 0.0976, 4: 0.0281, 5: 0.0, 6: 0.0}",1.29,4.26,0.02,0.0066,"{0: 0.1257, 1: 0.0, 2: 0.0, 3: 0.0066, 4: 0.0, 5: 0.0, 6: 0.0}"
3928,9,65,2.5,8.79,0.0,0.0002,"{0: 0.132, 1: 0.0001, 2: 0.0, 3: 0.0002, 4: 0.0, 5: 0.0, 6: 0.0}",40.48,107.08,0.55,0.1321,"{0: 0.0002, 1: 0.0, 2: 0.0, 3: 0.0009, 4: 0.1078, 5: 0.0234, 6: 0.0}"
3928,9,66,27.49,75.91,0.19,0.0207,"{0: 0.0086, 1: 0.1017, 2: 0.0013, 3: 0.0, 4: 0.0174, 5: 0.0033, 6: 0.0}",46.73,126.98,0.53,0.1116,"{0: 0.003, 1: 0.0173, 2: 0.0004, 3: 0.0001, 4: 0.0483, 5: 0.0632, 6: 0.0}"
3928,9,67,43.51,119.45,0.59,0.1323,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0007, 4: 0.0729, 5: 0.0587, 6: 0.0}",5.95,16.47,0.0,0.0,"{0: 0.1318, 1: 0.0005, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}"
3928,9,68,25.98,70.72,0.51,0.1294,"{0: 0.0024, 1: 0.0005, 2: 0.0, 3: 0.0071, 4: 0.121, 5: 0.0013, 6: 0.0}",4.43,17.12,0.01,0.0029,"{0: 0.126, 1: 0.0034, 2: 0.0, 3: 0.0021, 4: 0.0007, 5: 0.0001, 6: 0.0}"
3928,9,69,29.23,80.59,0.52,0.128,"{0: 0.0039, 1: 0.0004, 2: 0.0, 3: 0.0029, 4: 0.1194, 5: 0.0057, 6: 0.0}",10.98,30.5,0.05,0.0043,"{0: 0.0942, 1: 0.0338, 2: 0.0, 3: 0.0032, 4: 0.0011, 5: 0.0, 6: 0.0}"
3928,9,70,2.02,8.31,0.03,0.0086,"{0: 0.1237, 1: 0.0, 2: 0.0, 3: 0.0084, 4: 0.0002, 5: 0.0, 6: 0.0}",10.39,30.74,0.41,0.1237,"{0: 0.0086, 1: 0.0, 2: 0.0, 3: 0.0892, 4: 0.0344, 5: 0.0001, 6: 0.0}"
3928,9,71,1.48,5.25,0.0,0.0001,"{0: 0.1322, 1: 0.0, 2: 0.0, 3: 0.0001, 4: 0.0, 5: 0.0, 6: 0.0}",45.22,117.92,0.57,0.1322,"{0: 0.0001, 1: 0.0, 2: 0.0, 3: 0.0001, 4: 0.0859, 5: 0.0462, 6: 0.0}"
3928,10,52,28.03,53.02,0.22,0.0163,"{0: 0.0688, 1: 0.1553, 2: 0.0, 3: 0.0003, 4: 0.0159, 5: 0.0001, 6: 0.0}",44.96,82.22,0.91,0.2241,"{0: 0.0032, 1: 0.0131, 2: 0.0, 3: 0.0004, 4: 0.2234, 5: 0.0003, 6: 0.0}"
3928,10,53,31.66,61.25,0.59,0.1329,"{0: 0.0454, 1: 0.0621, 2: 0.0, 3: 0.0086, 4: 0.1243, 5: 0.0, 6: 0.0}",27.81,56.06,0.47,0.1075,"{0: 0.0856, 1: 0.0473, 2: 0.0, 3: 0.0098, 4: 0.0974, 5: 0.0003, 6: 0.0}"
3928,10,54,5.51,13.2,0.28,0.0926,"{0: 0.1478, 1: 0.0, 2: 0.0, 3: 0.0923, 4: 0.0003, 5: 0.0, 6: 0.0}",8.03,21.76,0.45,0.1478,"{0: 0.0926, 1: 0.0, 2: 0.0, 3: 0.1421, 4: 0.0057, 5: 0.0, 6: 0.0}"
3928,10,55,9.77,23.34,0.02,0.005,"{0: 0.2294, 1: 0.006, 2: 0.0, 3: 0.004, 4: 0.001, 5: 0.0, 6: 0.0}",55.33,106.68,0.95,0.2354,"{0: 0.0047, 1: 0.0003, 2: 0.0, 3: 0.0073, 4: 0.215, 5: 0.0131, 6: 0.0}"
3928,10,56,43.8,84.28,0.78,0.186,"{0: 0.0151, 1: 0.0393, 2: 0.0, 3: 0.0036, 4: 0.1797, 5: 0.0027, 6: 0.0}",29.97,62.38,0.32,0.0544,"{0: 0.0769, 1: 0.109, 2: 0.0001, 3: 0.0024, 4: 0.0515, 5: 0.0005, 6: 0.0}"
3928,10,57,4.09,12.04,0.46,0.1532,"{0: 0.0872, 1: 0.0, 2: 0.0, 3: 0.1529, 4: 0.0003, 5: 0.0, 6: 0.0}",2.75,6.25,0.26,0.0872,"{0: 0.1532, 1: 0.0, 2: 0.0, 3: 0.0872, 4: 0.0, 5: 0.0, 6: 0.0}"
3928,10,58,40.18,78.13,0.66,0.1491,"{0: 0.0224, 1: 0.0689, 2: 0.0, 3: 0.0047, 4: 0.1431, 5: 0.0013, 6: 0.0}",33.3,73.34,0.45,0.0913,"{0: 0.066, 1: 0.0831, 2: 0.0, 3: 0.0032, 4: 0.0854, 5: 0.0027, 6: 0.0}"
3928,10,59,3.57,7.63,0.09,0.0284,"{0: 0.212, 1: 0.0, 2: 0.0, 3: 0.0284, 4: 0.0, 5: 0.0, 6: 0.0}",9.28,19.02,0.64,0.212,"{0: 0.0284, 1: 0.0, 2: 0.0, 3: 0.2108, 4: 0.0012, 5: 0.0, 6: 0.0}"
3928,10,60,36.85,72.94,0.21,0.0053,"{0: 0.0487, 1: 0.1861, 2: 0.0003, 3: 0.0001, 4: 0.005, 5: 0.0002, 6: 0.0}",79.45,148.55,1.03,0.2351,"{0: 0.0007, 1: 0.0046, 2: 0.0, 3: 0.0, 4: 0.1521, 5: 0.083, 6: 0.0}"
3928,10,61,30.59,56.92,0.22,0.0045,"{0: 0.038, 1: 0.1979, 2: 0.0, 3: 0.0002, 4: 0.0043, 5: 0.0, 6: 0.0}",67.78,123.97,0.96,0.2359,"{0: 0.0017, 1: 0.0028, 2: 0.0, 3: 0.0, 4: 0.2191, 5: 0.0168, 6: 0.0}"
3928,10,62,9.96,24.84,0.01,0.0,"{0: 0.2287, 1: 0.0117, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}",77.74,144.81,1.04,0.2404,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0005, 4: 0.159, 5: 0.0809, 6: 0.0}"
3928,10,63,5.33,13.83,0.28,0.0925,"{0: 0.1479, 1: 0.0, 2: 0.0, 3: 0.092, 4: 0.0005, 5: 0.0, 6: 0.0}",7.34,18.1,0.45,0.1479,"{0: 0.0925, 1: 0.0, 2: 0.0, 3: 0.1454, 4: 0.0025, 5: 0.0, 6: 0.0}"
3928,10,64,17.34,36.27,0.74,0.2266,"{0: 0.0138, 1: 0.0, 2: 0.0, 3: 0.1697, 4: 0.0569, 5: 0.0, 6: 0.0}",2.43,5.67,0.04,0.0138,"{0: 0.2266, 1: 0.0, 2: 0.0, 3: 0.0138, 4: 0.0, 5: 0.0, 6: 0.0}"
3928,10,65,4.51,11.49,0.0,0.0005,"{0: 0.2398, 1: 0.0001, 2: 0.0, 3: 0.0005, 4: 0.0, 5: 0.0, 6: 0.0}",73.79,136.37,1.0,0.2399,"{0: 0.0005, 1: 0.0, 2: 0.0, 3: 0.0023, 4: 0.1923, 5: 0.0453, 6: 0.0}"
3928,10,66,49.49,95.59,0.31,0.0253,"{0: 0.0151, 1: 0.1982, 2: 0.0018, 3: 0.0001, 4: 0.0208, 5: 0.0044, 6: 0.0}",87.42,164.64,1.0,0.2151,"{0: 0.0025, 1: 0.0217, 2: 0.0011, 3: 0.0, 4: 0.0983, 5: 0.1168, 6: 0.0}"
3928,10,67,71.88,138.77,1.03,0.2404,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.002, 4: 0.1712, 5: 0.0672, 6: 0.0}",10.71,20.98,0.0,0.0,"{0: 0.2389, 1: 0.0015, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}"
